Dashboard,Главная
Construction,Строительство
Procurement,Закупки
Finance,Финансы
Projects,Проекты
Suppliers,Поставщики
Employees,Сотрудники
Reports,Отчеты
Settings,Настройки
Customer,Клиент
Supplier,Поставщик
Purchase Request,Заявка на закупку
Purchase Need,Потребность в закупке
Purchase Needs,Потребности
ERA Purchase Need,Потребность в закупке
Material Request,Заявка на закупку
Purchase Order,Заказ на закупку
Purchase Invoice,Счет поставщика
Purchase Receipt,Приемка материалов
Warehouse,Склад
Payment Entry,Оплата
Payment,Оплата
Accounts Payable,Кредиторская задолженность
Accounts Receivable,Дебиторская задолженность
Project,Объект
Budget,Бюджет
Contractor,Подрядчик
Cost,Себестоимость
Account,Статья затрат
Employee,Сотрудник
Item,Номенклатура
Request for Quotation,Запрос предложения
Supplier Quotation,Предложение поставщика
Stock Entry,Движение запасов
Task,Задача
Company,Компания
Bank Account,Банковский счет
Bank Transaction,Банковская операция
General Ledger,Главная книга
Project Summary,Сводка по объектам
Material Delivery,Поставка материалов
Material Transfer,Перемещение материалов
Material Consumption,Списание материалов
Site Warehouse,Склад объекта
Construction Site,Строительный объект
Building / Block,Корпус / блок
Floor,Этаж
Work Category,Вид работ
Cost Category,Статья затрат
Service Purchase,Закупка услуг
Advance Payment,Авансовая оплата
Initial Budget,Первоначальный бюджет
Revised Budget,Уточненный бюджет
Committed Cost,Принятые обязательства
Actual Cost,Фактическая себестоимость
Paid Cost,Оплаченная себестоимость
Forecast Cost,Прогнозная себестоимость
Remaining Budget,Остаток бюджета
Variance,Отклонение
Cash Flow,Денежный поток
Access,Доступ
Accounts Payable Summary,Сводка кредиторской задолженности
Bank Accounts,Банковские счета
Bank Transactions,Банковские операции
Budget Control,Контроль бюджета
Budget Variance Report,Отчет об отклонениях бюджета
Budgets,Бюджеты
Items,Номенклатура
Material Deliveries,Поставки материалов
Operations,Операции
Order and Receive,Заказы и приемка
Payables,Кредиторская задолженность
Payment Entries,Оплаты
Payments,Оплаты
Project-wise Stock Tracking,Движение запасов по объектам
Purchase Analytics,Аналитика закупок
Purchase Invoices,Счета поставщиков
Purchase Order Analysis,Анализ заказов на закупку
Purchase Orders,Заказы на закупку
Purchase Receipts,Приемка материалов
Purchase Requests,Заявки на закупку
Request and Source,Заявки и выбор поставщика
Requests for Quotation,Запросы предложений
Role Permissions Manager,Управление правами ролей
Roles,Роли
Site Operations,Операции на объекте
Stock Entries,Движения запасов
Supplier Quotations,Предложения поставщиков
System,Система
System Settings,Системные настройки
Tasks,Задачи
Users,Пользователи
Warehouses,Склады
Website Settings,Настройки сайта
Executive overview using approved ERPNext records. Management indicators will be added only after their definitions are reviewed.,Обзор для руководства на основе утвержденных документов ERPNext. Управленческие показатели будут добавлены только после согласования их определений.
Primary operational workspace. This visual baseline links to standard ERPNext records and introduces no business automation.,Основное рабочее пространство. Визуальная версия использует стандартные документы ERPNext и не добавляет бизнес-автоматизацию.
"Projects, procurement, deliveries and site materials in one calm operational workspace.","Объекты, закупки, поставки и материалы на площадке — в одном спокойном рабочем пространстве."
Project Work,Работа с объектами
Materials and Warehouses,Материалы и склады
Stock,Складской учет
Buying,Закупки
Home,Главная
Notification,Уведомления
Delivery Note,Накладная на отгрузку
Pick List,Лист комплектации
Tools,Инструменты
Setup,Настройка
Menu,Меню
Add,Добавить
Create New,Создать
Navigate to main content,Перейти к основному содержимому
name,Наименование
Clear all filters,Сбросить все фильтры
descending,По убыванию
Select All,Выбрать все
Click to sort by {0},Сортировать по {0}
Click to sort by Supplier Name,Сортировать по поставщику
0 Filter Applied,Фильтры не применены
You haven't created a {0} yet,Вы еще не создали: {0}
No {0} found with matching filters. Clear filters to see all {0}.,По заданным фильтрам не найдено: {0}. Сбросьте фильтры для просмотра всех записей.
Supplier Name,Поставщик
Title,Название
Date,Дата
Required By,Требуется к
Request Date,Дата потребности
Requested By,Инициатор
Priority,Приоритет
Normal,Обычный
Urgent,Срочный
Business Purpose,Цель закупки
Business Reason,Обоснование
Required Items,Необходимые позиции
Decision,Решение
Decision Reason,Причина решения
Posting Date,Дата проведения
Due Date,Срок оплаты
Payment Type,Тип оплаты
Document has been submitted,Документ проведен
Draft,Черновик
Submitted,Проведено
Completed,Завершено
Cancelled,Отменено
Paid,Оплачено
Overdue,Просрочено
To Receive and Bill,Ожидает приемки и счета
Receive,Поступление
Pay,Выплата
Timesheet,Табель рабочего времени
Cancel,Отменить
Details,Основное
Terms,Условия
